function,nador_lagoon_1,nador_lagoon_2,oualidia_lagoon_1,oualidia_lagoon_2
"NAD(FAD)-utilizing dehydrogenase, sll0175 homolog",58,52,16,14
NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2),487,455,131,125
NAD(P) transhydrogenase subunit beta (EC 1.6.1.2),504,470,174,171
NAD(P)-dependent glyceraldehyde 3-phosphate dehydrogenase archaeal (EC 1.2.1.59),1,1,0,0
NAD(P)H oxidoreductase YRKL (EC 1.6.99.-),0,0,1,1
NAD(P)H-quinone oxidoreductase chain 1,59,45,0,0
NAD(P)H-quinone oxidoreductase chain 5 (EC 1.6.5.2),4,3,0,0
NAD(P)H-quinone oxidoreductase chain H (EC 1.6.5.2),47,39,0,0
NAD(P)H-quinone oxidoreductase chain I (EC 1.6.5.2),27,16,0,0
NAD(P)H-quinone oxidoreductase chain J (EC 1.6.5.2),50,41,0,0
NAD(P)H-quinone oxidoreductase chain K (EC 1.6.5.2),23,16,0,0
NAD(P)H-quinone oxidoreductase subunit 3 (EC 1.6.5.2),25,18,0,0
NAD-dependent deacetylase (EC 3.5.1.-),0,0,1,0
NAD-dependent epimerase/dehydratase,156,147,68,61
NAD-dependent epimerase/dehydratase family protein,19,17,15,10
NAD-dependent formate dehydrogenase (EC 1.2.1.2),14,15,0,0
NAD-dependent formate dehydrogenase alpha subunit,345,326,106,104
NAD-dependent formate dehydrogenase beta subunit,40,40,5,6
NAD-dependent formate dehydrogenase delta subunit,1,1,1,0
NAD-dependent formate dehydrogenase gamma subunit,12,6,6,4
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),572,535,226,193
NAD-dependent malic enzyme (EC 1.1.1.38),20,19,34,26
NAD-dependent protein deacetylase of SIR2 family,83,62,36,28
NAD-reducing hydrogenase hoxS alpha subunit (EC 1.12.1.2),2,2,2,1
NAD-reducing hydrogenase subunit HoxE (EC 1.12.1.2),0,0,2,2
NAD-reducing hydrogenase subunit HoxF (EC 1.12.1.2),127,117,53,54
NAD-reducing hydrogenase subunit HoxH (EC 1.12.1.2),16,12,9,5
NAD-reducing hydrogenase subunit HoxU (EC 1.12.1.2),1,1,3,3
NAD-reducing hydrogenase subunit HoxY (EC 1.12.1.2),3,3,4,6
NAD-specific glutamate dehydrogenase (EC 1.4.1.2),43,36,50,46
"NAD-specific glutamate dehydrogenase (EC 1.4.1.2), large",2,3,0,0
"NAD-specific glutamate dehydrogenase (EC 1.4.1.2), large form",5,4,5,2
NADH dehydrogenase (EC 1.6.99.3),144,127,54,36
"NADH dehydrogenase I subunit 4, Involved in photosystem-1 cyclic electron flow",40,41,0,0
NADH dehydrogenase subunit 1,0,0,1,0
NADH dehydrogenase subunit 2,63,71,9,9
NADH dehydrogenase subunit 4 (EC:1.6.99.3),22,21,50,41
"NADH dehydrogenase subunit 4, Involved in CO2 fixation",106,103,1,1
NADH dehydrogenase subunit 4L,10,9,0,0
NADH dehydrogenase subunit 5,81,73,1,1
"NADH dehydrogenase subunit 5, Involved in CO2 fixation",48,44,0,0
"NADH dehydrogenase, subunit 5",6,8,16,17
NADH pyrophosphatase (EC 3.6.1.22),46,44,19,14
NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3),90,87,51,39
NADH-dependent butanol dehydrogenase A (EC 1.1.1.-),4,4,5,4
NADH-reducing hydrogenase maturation factor,0,0,1,1
NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3),142,106,46,49
NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3),127,135,65,68
NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3),279,257,211,202
NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3),165,176,35,31
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3),278,276,135,132
NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3),356,337,181,166
NADH-ubiquinone oxidoreductase chain G2 (EC 1.6.5.3),0,0,1,0
NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3),209,204,145,126
NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3),112,97,44,43
NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3),110,90,59,62
NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3),122,105,70,68
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3),506,449,266,267
NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3),320,289,128,125
NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3),235,242,113,105
NADH:ubiquinone oxidoreductase 17.2 kD subunit,25,24,12,6
NADP-dependent malic enzyme (EC 1.1.1.40),792,754,268,256
"NADP-reducing hydrogenase, subunit C",2,1,1,1
NADP-specific glutamate dehydrogenase (EC 1.4.1.4),303,276,69,61
NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.-),56,46,12,9
"NADPH-dependent aldo-keto reductase, similarity to GRE3, stress-induced in yeast",35,32,11,10
NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13),164,159,39,44
NADPH-dependent methylglyoxal reductase (D-lactaldehyde dehydrogenase),62,57,2,1
NADPH-dependent mycothiol reductase Mtr,5,7,0,0
"NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)",66,64,23,33
NLP/P60 family protein,26,24,1,1
"NMN 5'-nucleotidase, extracellular (EC 3.1.3.5)",0,0,1,1
NRPS module 4 PG-Ser-Gly-Thr,0,1,0,0
Na(+) H(+) antiporter subunit A,13,8,12,9
Na(+) H(+) antiporter subunit B,11,8,7,6
Na(+) H(+) antiporter subunit C,10,9,6,4
Na(+) H(+) antiporter subunit D,17,10,13,10
Na(+) H(+) antiporter subunit E,1,3,1,1
Na(+) H(+) antiporter subunit F,3,2,7,5
Na(+) H(+) antiporter subunit G,4,2,3,4
Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.-),169,125,40,44
Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.-),221,228,57,53
Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.-),79,75,22,22
Na(+)-translocating NADH-quinone reductase subunit D (EC 1.6.5.-),96,89,33,29
Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.-),108,104,14,11
Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-),285,252,60,62
Na+/H+ antiporter,632,626,174,151
Na+/H+ antiporter NhaA type,71,71,33,25
Na+/H+ antiporter NhaB,50,40,9,9
Na+/H+ antiporter NhaD type,92,78,25,23
Naphthoate synthase (EC 4.1.3.36),105,91,63,42
Negative regulator of allantoin and glyoxylate utilization operons,1,2,0,0
Negative regulator of beta-lactamase expression,35,27,3,2
Negative transcriptional regulator,3,6,2,1
Neopullulanase (EC 3.2.1.135),163,148,14,14
Neuraminidase NanP,6,5,0,0
Neurosporene desaturase (EC 1.-.-.-),58,41,0,0
NfuA Fe-S protein maturation,41,51,9,10
"Ni,Fe-hydrogenase I cytochrome b subunit",2,1,1,1
Ni/Fe-hydrogenase 2 B-type cytochrome subunit,1,3,1,1
Nicel/Cobalt-specific TonB-dependent outer membrane receptor,3,1,2,2
Nickel transport ATP-binding protein NikE (TC 3.A.1.5.3),1,0,0,0
Nickel transport system permease protein NikC (TC 3.A.1.5.3),1,1,0,0
Nickel transporter UreH,8,9,0,0
Nicotinamidase (EC 3.5.1.19),38,39,28,16
Nicotinamidase family protein YcaC,1,1,0,0
Nicotinamidase/isochorismatase family protein,20,21,6,6
Nicotinamide phosphoribosyltransferase (EC 2.4.2.12),11,4,8,8
Nicotinate phosphoribosyltransferase (EC 2.4.2.11),119,104,60,61
Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18),138,126,42,43
Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (EC 2.4.2.21),84,58,6,7
NifM protein,1,1,0,0
NifS-like cysteine desulfurase DndA,7,6,1,1
NifX-associated protein,0,0,1,0
"Nitrate ABC transporter, ATP-binding protein",2,2,3,2
"Nitrate ABC transporter, nitrate-binding protein",9,7,2,3
"Nitrate ABC transporter, permease protein",3,1,3,4
"Nitrate/TMAO reductases, membrane-bound tetraheme cytochrome c subunit",0,1,0,0
Nitrate/nitrite response regulator protein,2,3,0,2
Nitrate/nitrite sensor protein (EC 2.7.3.-),1,1,0,0
Nitrate/nitrite transporter,57,46,16,14
Nitric oxide -responding transcriptional regulator NnrR (Crp/Fnr family),0,0,1,1
Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-),0,0,0,1
Nitric oxide reductase activation protein NorD,0,0,10,9
Nitric oxide reductase activation protein NorE,1,0,0,0
Nitric oxide reductase activation protein NorQ,2,2,2,2
Nitric oxide synthase oxygenase (EC 1.-.-.-),10,8,2,4
"Nitric-oxide reductase (EC 1.7.99.7), quinol-dependent",0,0,0,2
Nitric-oxide reductase subunit B (EC 1.7.99.7),0,0,3,2
Nitric-oxide reductase subunit C (EC 1.7.99.7),0,0,1,1
Nitrilase 1 (EC 3.5.5.1),1,1,1,1
Nitrilotriacetate monooxygenase component B (EC 1.14.13.-),48,45,14,6
Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4),3,4,15,15
Nitrite reductase [NAD(P)H] small subunit (EC 1.7.1.4),1,0,1,2
Nitrite reductase accessory protein NirV,0,1,1,2
Nitrite reductase associated c-type cytochorome NirN,1,1,2,2
Nitrite reductase probable [NAD(P)H] subunit (EC 1.7.1.4),23,26,17,17
Nitrite transporter from formate/nitrite family,36,30,1,1
Nitrite-sensitive transcriptional repressor NsrR,5,5,2,2
Nitrogen assimilation regulatory protein Nac,1,1,0,0
Nitrogen regulation protein NR(I),124,106,45,42
Nitrogen regulation protein NR(II) (EC 2.7.3.-),18,12,6,5
Nitrogen regulatory protein P-II,217,209,64,52
Nitrogenase (iron-iron) transcriptional regulator,1,1,2,2
Nitrogenase (molybdenum-iron) alpha chain (EC 1.18.6.1),0,0,1,1
Nitrogenase (molybdenum-iron) beta chain (EC 1.18.6.1),2,2,0,0
Nitrogenase (molybdenum-iron) reductase and maturation protein NifH,0,2,0,0
Nitrogenase (molybdenum-iron)-specific transcriptional regulator NifA,6,10,6,5
Nitrogenase (vanadium-iron) transcriptional regulator VnfA,1,1,0,0
Nitrogenase FeMo-cofactor scaffold and assembly protein NifE,1,1,2,2
Nitrogenase FeMo-cofactor scaffold and assembly protein NifN,3,1,0,0
Nitrogenase FeMo-cofactor synthesis FeS core scaffold and assembly protein NifB,3,3,1,1
Nitrogenase vanadium-cofactor synthesis protein VnfN,1,0,0,0
Nitrogenase-associated protein NifO,0,0,1,0
Nitrous oxide reductase maturation periplasmic protein NosX,0,0,1,1
Nitrous oxide reductase maturation protein NosD,2,2,4,3
Nitrous oxide reductase maturation protein NosF (ATPase),3,2,4,4
Nitrous oxide reductase maturation protein NosR,10,10,4,4
"Nitrous oxide reductase maturation protein, outer-membrane lipoprotein NosL",0,0,1,1
Nitrous oxide reductase maturation transmembrane protein NosY,2,2,1,1
Nitrous-oxide reductase (EC 1.7.99.6),3,2,13,12
NnrS protein involved in response to NO,2,0,1,0
NnrU family protein in cluster with Mesaconyl-CoA hydratase,26,24,3,3
"NnrU family protein, required for expression of nitric oxide and nitrite reductases (Nir and Nor)",0,0,1,1
Non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase (NAD),1,1,1,0
Non-phosphorylating glyceraldehyde-3-phosphate dehydrogenase (NADP) (EC 1.2.1.9),9,6,3,3
"Non-ribosomal peptide synthetase modules, pyoverdine",3,1,1,1
"Non-ribosomal peptide synthetase modules, pyoverdine??",1,0,1,0
Nonheme iron-containing ferritin,2,0,0,0
Nopaline transporter ATP-binding protein NocP,0,0,1,0
Nopaline transporter periplasmic substrate-binding protein NocT,8,1,1,1
Nopaline transporter permease protein NocM,16,19,2,2
Nopaline transporter permease protein NocQ,6,1,1,1
"Not a Proline racemase, nor 4-hydroxyproline epimerase [missing catalytic residues]",12,10,4,2
Novel Xylose regulator from LacI family,1,1,0,0
NrfD protein,0,0,1,0
"Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15)",227,217,66,75
Nucleoside diphosphate kinase (EC 2.7.4.6),239,191,75,67
Nucleoside permease NupC,56,45,18,14
Nucleoside triphosphate pyrophosphohydrolase MazG,183,167,47,47
Nucleoside-diphosphate sugar epimerase/dehydratase,82,73,12,9
Nucleoside-diphosphate-sugar epimerases,163,138,23,23
"Nucleoside-diphosphate-sugar pyrophosphorylase involved in lipopolysaccharide biosynthesis/translation initiation factor 2B, gamma/epsilon subunits (eIF-2Bgamma/eIF-2Bepsilon)",96,90,11,12
"Nucleotidase YfbR, HD superfamily",0,0,1,1
"Nucleotide excision repair protein, with UvrB/UvrC motif",1,2,0,0
Nucleotide pyrophosphatase (EC 3.6.1.9),12,9,0,0
Nucleotide sugar epimerase,39,43,13,10
Nudix hydrolase,17,13,14,11
Nudix hydrolase family protein YffH,0,0,1,1
Nudix-like NDP and NTP phosphohydrolase YmfB,1,1,0,0
Nudix-related transcriptional regulator NrtR,1,3,2,1
O-acetylhomoserine sulfhydrylase (EC 2.5.1.49),492,445,225,183
"O-antigen export system, ATP-binding protein",1,1,3,3
"O-antigen export system, permease protein",6,2,11,8
O-antigen flippase Wzx,1,1,0,0
O-antigen ligase,49,43,4,4
O-phosphoseryl-tRNA(Sec) selenium transferase,1,0,1,2
O-succinylbenzoate-CoA synthase (EC 4.2.1.-),61,69,22,23
O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26),86,61,11,10
O-succinylhomoserine sulfhydrylase (EC 2.5.1.48),340,329,96,92
Octaheme tetrathionate reductase,7,6,6,7
Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase,207,192,70,59
Octaprenyl-diphosphate synthase (EC 2.5.1.-),101,98,22,19
Octaprenyl-diphosphate synthase (EC 2.5.1.-) / Dimethylallyltransferase (EC 2.5.1.1) / Geranyltranstransferase (EC 2.5.1.10) / Geranylgeranyl pyrophosphate synthetase (EC 2.5.1.29),9,6,1,2
"Oligo-1,6-glucosidase (EC 3.2.1.10)",2,1,4,3
Oligopeptidase A (EC 3.4.24.70),64,54,34,34
"Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)",161,154,25,26
Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1),155,150,42,35
Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1),135,101,55,48
Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1),273,250,43,43
Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1),189,163,41,30
Oligosaccharide repeat unit polymerase Wzy,1,1,0,0
Oligosaccharyltransferase PglB (EC 2.4.1.119),2,2,1,1
Omega amidase (Nit2 homolog),8,8,5,4
Omega-amino acid--pyruvate aminotransferase (EC 2.6.1.18),270,250,109,102
"OpcA, an allosteric effector of glucose-6-phosphate dehydrogenase, actinobacterial",4,3,2,2
"OpcA, an allosteric effector of glucose-6-phosphate dehydrogenase, cyanobacterial",42,34,0,0
Organic solvent tolerance protein precursor,64,65,15,15
Origin of replication recognition protein,2,2,2,3
Ornithine aminotransferase (EC 2.6.1.13),164,149,54,48
Ornithine carbamoyltransferase (EC 2.1.3.3),345,346,152,140
Ornithine cyclodeaminase (EC 4.3.1.12),133,123,36,27
Ornithine decarboxylase (EC 4.1.1.17),0,0,0,4
Ornithine racemase (EC 5.1.1.12),0,0,2,2
Orotate phosphoribosyltransferase (EC 2.4.2.10),258,234,82,67
Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23),94,94,27,25
"Ortho-halobenzoate 1,2-dioxygenase alpha-ISP protein OhbB",0,0,0,1
"Ortho-halobenzoate 1,2-dioxygenase beta-ISP protein OhbA",0,0,1,0
Osmolarity sensory histidine kinase EnvZ,49,38,4,3
Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-),9,9,12,10
"Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCB",1,1,0,0
"Osmotically activated L-carnitine/choline ABC transporter, permease protein OpuCD",0,1,0,0
Osmotically inducible protein OsmY,0,0,1,0
"Outer membrane and periplasm component of type IV secretion of T-DNA complex, has secretin-like domain, VirB9",3,2,1,1
Outer membrane chaperone Skp (OmpH) precursor,0,0,1,1
Outer membrane fibronectin-binding protein,1,2,0,0
"Outer membrane lipoprotein SmpA, a component of the essential YaeT outer-membrane protein assembly complex",7,7,0,0
Outer membrane lipoprotein carrier protein LolA,20,23,5,5
Outer membrane lipoprotein omp16 precursor,95,96,35,38
Outer membrane protein A precursor,15,13,4,5
Outer membrane protein H precursor,33,39,5,5
"Outer membrane protein Imp, required for envelope biogenesis",11,11,8,5
"Outer membrane protein ImpK/VasF, OmpA/MotB domain",1,1,3,2
"Outer membrane protein NlpB, lipoprotein component of the protein assembly complex (forms a complex with YaeT, YfiO, and YfgL)",10,5,2,3
Outer membrane protein W precursor,0,0,3,3
"Outer membrane protein YfgL, lipoprotein component of the protein assembly complex (forms a complex with YaeT, YfiO, and NlpB)",36,28,17,16
Outer membrane protein assembly factor YaeT precursor,360,330,85,77
Outer membrane protein/protective antigen OMA87,74,61,0,0
Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid,0,0,2,2
"Outer membrane receptor proteins, mostly Fe transport",102,90,46,43
"Outer membrane stress sensor protease DegQ, serine protease",3,2,0,0
Outer membrane stress sensor protease DegS,20,15,6,9
Outer membrane vitamin B12 receptor BtuB,53,50,18,15
Oxaloacetate decarboxylase alpha chain (EC 4.1.1.3),40,36,23,17
Oxaloacetate decarboxylase beta chain (EC 4.1.1.3),43,39,14,9
Oxaloacetate decarboxylase gamma chain (EC 4.1.1.3),0,0,1,1
Oxidase,1,0,2,1
Oxidoreductase probably involved in sulfite reduction,8,12,1,0
"Oxidoreductase, NAD(P)-dependent, weak similarity to Myo-inositol 2-dehydrogenase",76,71,5,6
"Oxidoreductase, short-chain dehydrogenase/reductase family (EC 1.1.1.-)",97,89,30,23
P protein,668,655,307,290
P-hydroxybenzoate hydroxylase (EC 1.14.13.2),51,51,6,5
PAB2272 methyltransferase homolog,1,1,0,0
"PF00070 family, FAD-dependent NAD(P)-disulphide oxidoreductase",18,15,24,17
PHENOLPTHIOCEROL SYNTHESIS TYPE-I POLYKETIDE SYNTHASE PPSC,1,1,1,1
PHENOLPTHIOCEROL SYNTHESIS TYPE-I POLYKETIDE SYNTHASE PPSD,1,1,1,0
POSSIBLE LINOLEOYL-CoA DESATURASE (DELTA(6)-DESATURASE),0,0,0,1
PROBABLE DAUNORUBICIN-DIM-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER DRRA,0,0,2,2
PTPS-like type 4,1,5,2,0
"PTS system nitrogen-specific IIA component, PtsN",31,24,6,7
"PTS system permease (IIAMan), nitrogen regulatory IIA protein",13,11,3,3
"PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69)",0,0,3,1
"PTS system, N-acetylglucosamine-specific IIC component (EC 2.7.1.69)",0,0,1,1
"PTS system, fructose-specific IIA component (EC 2.7.1.69)",1,2,0,1
"PTS system, fructose-specific IIC component (EC 2.7.1.69)",1,1,1,1
"PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components (EC 2.7.1.69)",8,7,17,17
"PTS system, glucitol/sorbitol-specific IIC component (EC 2.7.1.69)",9,5,1,1
"PTS system, glucose-specific IIA component (EC 2.7.1.69)",0,0,0,1
"PTS system, glucose-specific IIC component (EC 2.7.1.69)",0,0,2,0
"PTS system, mannitol-specific IIA component (EC 2.7.1.69)",4,5,4,6
"PTS system, mannitol-specific IIB component (EC 2.7.1.69)",8,8,6,10
"PTS system, mannitol-specific IIC component (EC 2.7.1.69)",15,12,12,8
"PTS system, mannitol-specific cryptic IIB component (EC 2.7.1.69)",0,1,1,0
"PTS system, mannose-specific IIC component (EC 2.7.1.69)",1,2,0,0
"PTS system, sucrose-specific IIC component (EC 2.7.1.69)",1,1,0,0
"PTS system, trehalose-specific IIB component (EC 2.7.1.69)",0,0,2,2
PaaD-like protein (DUF59) involved in Fe-S cluster assembly,96,105,43,44
Pantoate--beta-alanine ligase (EC 6.3.2.1),209,190,50,54
Pantothenate kinase (EC 2.7.1.33),11,7,36,33
"Pantothenate kinase type II, eukaryotic (EC 2.7.1.33)",1,2,2,2
"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)",141,149,31,32
Pantothenate:Na+ symporter (TC 2.A.21.1.1),16,11,2,2
ParD protein (antitoxin to ParE),4,3,1,1
"Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)",146,126,40,38
"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)",204,178,52,46
"Para-hydroxybenzoate--polyprenyltransferase, mitochondrial precursor (EC 2.5.1.-)",4,6,3,2
Paralog of coenzyme PQQ synthesis protein C,2,2,0,0
Paraquat-inducible protein A,8,9,8,5
Paraquat-inducible protein B,1,0,5,4
Pca regulon regulatory protein PcaR,1,1,1,0
Pectin degradation protein KdgF,3,3,2,1
Pectinesterase (EC 3.1.1.11),0,0,0,1
"Pedicted L-rhamnose permease, NCS1 Family",13,13,10,7
Penicillin-binding protein 1A/1B (PBP1),1,1,0,0
Penicillin-binding protein 2 (PBP-2),450,445,127,115
Penicillin-binding protein DacC,1,0,0,0
Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C,2,1,2,1
Peptidase B (EC 3.4.11.23),67,57,11,11
Peptidase M23B precursor,46,58,10,6
"Peptidase M48, Ste24p precursor",12,6,5,3
"Peptidase, M23/M37 family",230,224,57,52
Peptide chain release factor 1,486,473,180,179
Peptide chain release factor 2,326,286,92,88
Peptide chain release factor 3,346,310,91,93
Peptide chain release factor homolog,0,0,0,1
Peptide deformylase (EC 3.5.1.88),276,266,106,102
Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11),325,293,105,88
Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12),289,277,90,80
Peptide transport system ATP-binding protein SapD (TC 3.A.1.5.5),0,0,3,3
Peptide transport system ATP-binding protein sapF (TC 3.A.1.5.5),1,1,2,2
Peptide transport system permease protein sapC (TC 3.A.1.5.5),5,1,8,7
Peptidoglycan-associated lipoprotein precursor,53,49,18,12
"Peptidyl prolyl 4-hydroxylase, alpha subunit (EC 1.14.11.2)",21,16,3,4
Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),256,240,74,68
Peptidyl-prolyl cis-trans isomerase ppiA precursor (EC 5.2.1.8),18,17,12,11
Peptidyl-prolyl cis-trans isomerase ppiB (EC 5.2.1.8),47,48,27,28
Peptidyl-prolyl cis-trans isomerase ppiC (EC 5.2.1.8),0,2,4,5
Peptidyl-prolyl cis-trans isomerase ppiD (EC 5.2.1.8),49,42,4,4
Peptidyl-tRNA hydrolase (EC 3.1.1.29),190,171,59,57
"Peptidyl-tRNA hydrolase, archaeal type (EC 3.1.1.29)",2,2,2,2
Periplasmic Murein Peptide-Binding Protein MppA,0,1,0,0
Periplasmic [Fe] hydrogenase (EC 1.12.7.2),0,0,1,0
Periplasmic [Fe] hydrogenase large subunit (EC 1.12.7.2),0,0,7,7
Periplasmic alpha-amylase (EC 3.2.1.1),12,11,8,8
"Periplasmic aromatic aldehyde oxidoreductase, FAD binding subunit YagS",1,1,1,1
"Periplasmic aromatic aldehyde oxidoreductase, iron-sulfur subunit YagT",0,0,2,0
"Periplasmic aromatic aldehyde oxidoreductase, molybdenum binding subunit YagR",8,4,1,1
Periplasmic beta-glucosidase (EC 3.2.1.21),146,149,33,32
Periplasmic divalent cation tolerance protein cutA,9,7,2,0
Periplasmic hemin-binding protein,0,0,2,2
Periplasmic mercury(+2) binding protein,0,0,1,0
Periplasmic molybdate-binding domain,2,2,0,0
Periplasmic nitrate reductase precursor (EC 1.7.99.4),8,7,16,10
Periplasmic protein SypC involved in polysaccharide export,0,0,1,2
Periplasmic thiol:disulfide interchange protein DsbA,77,58,14,13
"Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation",163,183,6,8
Permease of the drug/metabolite transporter (DMT) superfamily,490,444,100,94
Perosamine synthetase,12,10,4,3
Peroxidase (EC 1.11.1.7),327,295,126,114
Peroxide stress regulator,7,6,0,0
"Petrobactin ABC transporter, ATP-binding protein",3,1,0,0
Phage DNA binding ATPase,1,1,2,2
Phage DNA binding protein,0,6,3,3
Phage DNA binding protein HkaK,0,0,1,1
Phage DNA packaging,93,87,55,40
Phage DNA-binding protein,13,11,1,2
Phage Holliday junction resolvase,0,0,1,2
Phage NinF,1,0,0,0
Phage T7 exclusion protein,0,0,0,1
Phage antirepressor,2,2,1,1
Phage baseplate,115,102,11,5
Phage baseplate hub,40,45,13,15
Phage baseplate wedge,14,14,0,1
Phage baseplate wedge initiator,4,0,0,0
Phage capsid and scaffold,363,357,73,63
Phage collar,91,64,35,23
Phage endolysin,22,19,20,18
Phage endonuclease,116,101,18,12
Phage endopeptidase,2,1,0,0
Phage exonuclease,138,129,1,2
Phage head completion protein,41,37,5,6
Phage head maturation protease,0,1,8,5
Phage holin,3,0,0,0
Phage integrase,156,146,31,30
Phage lysin,29,27,3,3
Phage lysozyme,13,11,7,10
Phage lysozyme (EC 3.2.1.17),1,3,0,0
Phage major capsid protein,302,282,113,101
Phage minor tail protein,4,0,0,0
Phage neck,23,32,3,3
Phage neck protein,135,125,4,0
Phage neck whiskers,2,1,0,0
Phage peptidoglycan binding endopeptidase,4,0,1,1
Phage portal,307,289,42,47
Phage portal protein,7,6,6,6
Phage prohead core protein,91,90,27,29
Phage prohead core scaffold protein and protease,84,73,43,41
Phage protein,8132,7604,830,714
Phage rIIA lysis inhibitor,5,0,1,1
Phage rIIB lysis inhibitor,5,1,0,1
Phage repressor,1,1,1,1
Phage scaffold prohead core protein,156,138,4,5
Phage shock protein A,54,54,14,14
Phage shock protein B,2,2,4,4
Phage shock protein C,1,2,0,0
Phage shock protein E,8,5,2,2
Phage tail assembly,129,122,18,16
Phage tail assembly protein,5,2,0,0
Phage tail connector,8,3,3,3
Phage tail fiber protein,216,211,149,154
Phage tail fibers,208,163,66,46
Phage tail length tape-measure protein,16,13,3,3
Phage tail length tape-measure protein 1,1,2,0,0
Phage tail sheath monomer,270,247,86,90
Phage tape measure,0,0,1,4
Phage terminase,614,579,147,137
Phage terminase large subunit,15,14,15,8
"Phage terminase, large subunit",79,76,27,28
"Phage terminase, small subunit",5,6,0,0
Phage-associated recombinase,8,2,10,9
Phenazine biosynthesis protein PhzF,20,22,9,3
Phenazine modifying protein PhzH,0,1,0,0
"Phenol hydroxylase, FAD- and [2Fe-2S]-containing reductase component DmpP",2,4,1,2
"Phenol hydroxylase, P1 oxygenase component DmpL (EC 1.14.13.7)",0,0,1,1
"Phenol hydroxylase, P3 oxygenase component DmpN (EC 1.14.13.7)",3,6,1,1
Phenylacetaldehyde dehydrogenase (EC 1.2.1.39),4,4,0,0
Phenylacetate degradation enoyl-CoA hydratase PaaA (EC 4.2.1.17),7,6,0,0
Phenylacetate degradation enoyl-CoA hydratase PaaB (EC 4.2.1.17),38,27,7,9
"Phenylacetate-CoA oxygenase, PaaG subunit",75,67,20,19
"Phenylacetate-CoA oxygenase, PaaH subunit",12,15,6,6
"Phenylacetate-CoA oxygenase, PaaI subunit",38,30,9,7
"Phenylacetate-CoA oxygenase, PaaJ subunit",8,11,8,7
"Phenylacetate-CoA oxygenase/reductase, PaaK subunit",52,46,14,12
Phenylacetate-coenzyme A ligase (EC 6.2.1.30),102,88,13,12
Phenylacetate-coenzyme A ligase (EC 6.2.1.30) PaaF,6,6,5,5
Phenylacetic acid degradation operon negative regulatory protein PaaX,3,3,2,2
"Phenylacetic acid degradation protein PaaD, thioesterase",7,9,3,4
