level1	level2	level3	function	nador_lagoon_1	nador_lagoon_2	oualidia_lagoon_1	oualidia_lagoon_2
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Lys	Lysyl-tRNA synthetase (class I) (EC 6.1.1.6)	334	320	115	88
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Lys	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)	406	347	165	144
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Lys	Lysyl-tRNA synthetase (class II) (EC 6.1.1.6), mitochondrial	0	0	2	1
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Lys	Lysyl-tRNA synthetase (class II) related protein found fused to membrane protein	1	1	0	0
Regulation and Cell signaling	Signal transduction in Eukaryotes	P38_MAP_kinase_pathways	MAP kinase ERK2	0	1	0	0
Regulation and Cell signaling	Signal transduction in Eukaryotes	P38_MAP_kinase_pathways	MAP kinase ERK5	0	0	2	2
Regulation and Cell signaling	Signal transduction in Eukaryotes	P38_MAP_kinase_pathways	MAP kinase JNK2	0	0	0	1
Miscellaneous	Plant-Prokaryote DOE project	At5g38900	MFS family multidrug efflux protein, similarity to bicyclomycin resistance protein Bcr	23	24	18	12
Phages, Prophages, Transposable elements, Plasmids	Transposable elements	CBSS-203122.12.peg.188	MG(2+) CHELATASE FAMILY PROTEIN	74	67	38	35
Carbohydrates	Di- and oligosaccharides	Fructooligosaccharides(FOS)_and_Raffinose_Utilization	MSM (multiple sugar metabolism) operon regulatory protein	2	1	0	0
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug_Resistance_Efflux_Pumps	Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)	26	22	13	9
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug_Resistance_Efflux_Pumps	Macrolide-specific efflux protein MacA	12	9	7	7
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper_homeostasis:_copper_tolerance	Magnesium and cobalt efflux protein CorC	126	122	66	71
Iron acquisition and metabolism	NULL	Campylobacter_Iron_Metabolism	Magnesium and cobalt transport protein CorA	15	18	10	10
Clustering-based subsystems	Clustering-based subsystems	CBSS-292415.3.peg.2341	Major facilitator superfamily (MFS) transporter	4	5	0	1
Virulence, Disease and Defense	Toxins and superantigens	Pertussis_toxin	Major pilus subunit of type IV secretion complex, VirB2	5	5	0	0
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	Malate Na(+) symporter	17	17	2	2
Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	Malate dehydrogenase (EC 1.1.1.37)	443	409	145	133
Carbohydrates	Central carbohydrate metabolism	Glyoxylate_bypass	Malate dehydrogenase (EC 1.1.1.37), chloroplast precursor	0	0	1	1
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	Malate synthase (EC 2.3.3.9)	25	21	7	13
Carbohydrates	CO2 fixation	Photorespiration_(oxidative_C2_cycle)	Malate synthase G (EC 2.3.3.9)	574	540	221	186
Carbohydrates	Central carbohydrate metabolism	TCA_Cycle	Malate:quinone oxidoreductase (EC 1.1.99.16)	75	58	33	35
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Salicylate_and_gentisate_catabolism	Maleate cis-trans isomerase (EC 5.2.1.1)	3	4	4	2
Miscellaneous	Plant-Prokaryote DOE project	COG3146_experimental	Maleylacetoacetate isomerase (EC 5.2.1.2)	30	28	16	17
Carbohydrates	Central carbohydrate metabolism	Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP	Malolactic enzyme (EC 1.-.-.-)	1	1	0	0
Carbohydrates	Organic acids	Malonate_decarboxylase	Malonate transporter, MadL subunit	5	6	0	0
Carbohydrates	Organic acids	Malonate_decarboxylase	Malonate transporter, MadM subunit	9	6	1	1
Fatty Acids, Lipids, and Isoprenoids	Fatty acids	Fatty_Acid_Biosynthesis_FASII	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	304	290	132	120
Carbohydrates	Di- and oligosaccharides	Trehalose_Biosynthesis	Malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141)	1	0	1	1
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	Maltodextrin glucosidase (EC 3.2.1.20)	107	93	17	14
Carbohydrates	Polysaccharides	Glycogen_metabolism	Maltodextrin phosphorylase (EC 2.4.1.1)	1	1	0	0
Cell Wall and Capsule	Gram-Negative cell wall components	Major_Outer_Membrane_Proteins	Maltoporin (maltose/maltodextrin high-affinity receptor, phage lambda receptor protein)	0	0	3	3
Clustering-based subsystems	NULL	CBSS-196620.1.peg.2477	Maltose O-acetyltransferase (EC 2.3.1.79)	20	12	2	5
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	Maltose operon transcriptional repressor MalR, LacI family	5	3	0	1
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	Maltose phosphorylase (EC 2.4.1.8)	48	37	7	6
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	Maltose/maltodextrin ABC transporter 2, permease protein MalF2	1	0	0	0
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	Maltose/maltodextrin ABC transporter, permease protein MalF	42	33	9	11
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	Maltose/maltodextrin ABC transporter, permease protein MalG	96	92	14	6
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	38	29	5	6
Carbohydrates	Di- and oligosaccharides	Maltose_and_Maltodextrin_Utilization	Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)	163	152	21	14
Carbohydrates	One-carbon Metabolism	Serine-glyoxylate_cycle	Malyl-CoA lyase (EC 4.1.3.24)	92	68	10	11
Membrane Transport	NULL	Transport_of_Manganese	Manganese ABC transporter, ATP-binding protein SitB	54	41	18	13
Membrane Transport	NULL	Transport_of_Manganese	Manganese ABC transporter, inner membrane permease protein SitC	27	29	17	15
Membrane Transport	NULL	Transport_of_Manganese	Manganese ABC transporter, inner membrane permease protein SitD	28	22	9	7
Membrane Transport	NULL	Transport_of_Manganese	Manganese ABC transporter, periplasmic-binding protein SitA	73	68	11	10
Stress Response	Oxidative stress	Regulation_of_Oxidative_Stress_Response	Manganese superoxide dismutase (EC 1.15.1.1)	82	66	38	35
Membrane Transport	NULL	Transport_of_Manganese	Manganese transport protein MntH	44	50	21	14
Membrane Transport	NULL	Transport_of_Manganese	Manganese uptake regulation protein MUR	20	22	0	0
Phosphorus Metabolism	NULL	Phosphate_metabolism	Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1)	66	51	10	9
Cell Wall and Capsule	Capsular and extracellular polysacchrides	Exopolysaccharide_Biosynthesis	Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48)	1	1	0	0
Carbohydrates	Sugar alcohols	Mannitol_Utilization	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	4	0	4	5
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	Mannonate dehydratase (EC 4.2.1.8)	21	18	11	11
Membrane Transport	NULL	Agrobacterium_opine_transport	Mannopine transporter ATP-binding protein MotB	2	2	0	1
Membrane Transport	NULL	Agrobacterium_opine_transport	Mannopine transporter periplasmic substrate-binding protein MotA	0	0	1	1
Membrane Transport	NULL	Agrobacterium_opine_transport	Mannopine transporter permease protein MotC	3	2	1	1
Membrane Transport	NULL	Agrobacterium_opine_transport	Mannopine transporter permease protein MotD	3	2	0	0
Carbohydrates	Monosaccharides	Mannose_Metabolism	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.13 )	51	41	0	0
Cell Wall and Capsule	Gram-Negative cell wall components	Perosamine_Synthesis_Vibrio	Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	300	292	90	79
Carbohydrates	NULL	Sugar_utilization_in_Thermotogales	Mannose-6-phosphate isomerase (EC 5.3.1.8)	41	45	31	21
Carbohydrates	Monosaccharides	Mannose_Metabolism	Mannoside ABC transport system, ATP-binding protein 2	1	2	0	0
Carbohydrates	Monosaccharides	Mannose_Metabolism	Mannoside ABC transport system, permease protein 1	1	1	0	0
Clustering-based subsystems	Clustering-based subsystems	CBSS-280355.3.peg.2835	MazG nucleotide pyrophosphohydrolase	1	3	0	0
DNA Metabolism	DNA replication	DNA_topoisomerases,_Type_II,_ATP-dependent	Meiosis-specific DNA cleavage protein SPO11	0	1	3	4
DNA Metabolism	DNA repair	DNA_repair_and_recombination_eukaryotic	Meiotic recombination protein DMC1	1	0	4	4
Carbohydrates	Di- and oligosaccharides	Melibiose_Utilization	Melibiose carrier protein, Na+/melibiose symporter	5	6	0	0
Protein Metabolism	Protein degradation	Aminopeptidases_(EC_3.4.11.-)	Membrane alanine aminopeptidase N (EC 3.4.11.2)	302	245	114	110
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug_Resistance_Efflux_Pumps	Membrane fusion protein of RND family multidrug efflux pump	27	22	31	22
Miscellaneous	NULL	YbbK	Membrane protease family protein BA0301	11	10	5	4
Miscellaneous	NULL	YbbK	Membrane protease family protein HP0248	0	0	1	0
Miscellaneous	Plant-Prokaryote DOE project	At1g54520	Membrane protein PxcA, involved in light-induced proton extrusion	70	59	1	0
Clustering-based subsystems	NULL	CBSS-56780.10.peg.1536	Membrane protein containing HD superfamily hydrolase domain, YQFF ortholog	69	64	11	13
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper_homeostasis:_copper_tolerance	Membrane protein, suppressor for copper-sensitivity ScsB	4	2	3	2
Clustering-based subsystems	Protein export?	CBSS-393121.3.peg.2760	Membrane proteins related to metalloendopeptidases	39	34	21	13
Protein Metabolism	Protein degradation	Proteolysis_in_bacteria,_ATP-dependent	Membrane-associated protein containing a homolog of PilT-like ATPase N-terminal domain, YACL B.subtilis ortholog	1	2	0	0
Cell Wall and Capsule	NULL	Murein_Hydrolases	Membrane-bound lytic murein transglycosylase A precursor (EC 3.2.1.-)	12	16	9	8
Clustering-based subsystems	NULL	CBSS-243277.1.peg.4359	Membrane-bound lytic murein transglycosylase B (EC 3.2.1.-)	16	14	5	5
Cell Wall and Capsule	NULL	Murein_Hydrolases	Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	117	113	26	23
Cell Wall and Capsule	NULL	Murein_Hydrolases	Membrane-bound lytic murein transglycosylase C precursor (EC 3.2.1.-)	1	2	0	0
Cell Wall and Capsule	NULL	Murein_Hydrolases	Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	74	75	42	37
Cell Wall and Capsule	NULL	Murein_Hydrolases	Membrane-bound lytic murein transglycosylase E (EC 3.2.1.-)	3	2	0	0
Miscellaneous	Plant-Prokaryote DOE project	Synechocystis_experimental	Menaquinone biosynthesis related protein, putative DHNA-CoA thioesterase	3	2	1	1
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone_Biosynthesis_via_Futalosine_--_gjo	Menaquinone via futalosine step 1	0	0	2	2
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone_Biosynthesis_via_Futalosine_--_gjo	Menaquinone via futalosine step 2	0	0	1	1
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone_Biosynthesis_via_Futalosine_--_gjo	Menaquinone via futalosine step 3	11	7	6	5
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone_Biosynthesis_via_Futalosine_--_gjo	Menaquinone via futalosine step 4	7	6	0	0
Respiration	Electron accepting reactions	Ubiquinone_Menaquinone-cytochrome_c_reductase_complexes	Menaquinone-cytochrome c reductase, cytochrome B subunit	3	2	0	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Menaquinone_and_Phylloquinone_Biosynthesis	Menaquinone-specific isochorismate synthase (EC 5.4.4.2)	19	12	11	10
Miscellaneous	Plant-Prokaryote DOE project	COG0398	Mercuric ion reductase (EC 1.16.1.1)	54	50	14	13
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Mercury_resistance_operon	Mercuric transport protein, MerT	5	4	0	0
Carbohydrates	Central carbohydrate metabolism	Ethylmalonyl-CoA_pathway_of_C2_assimilation	Mesaconyl-CoA hydratase	63	67	16	13
Clustering-based subsystems	NULL	CBSS-56780.10.peg.1536	Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly	126	109	24	22
Phosphorus Metabolism	NULL	Alkylphosphonate_utilization	Metal-dependent hydrolase involved in phosphonate metabolism	135	125	8	8
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Metal-dependent hydrolases of the beta-lactamase superfamily I	14	14	6	5
Phosphorus Metabolism	NULL	Alkylphosphonate_utilization	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	53	57	14	14
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Metal-dependent hydrolases of the beta-lactamase superfamily II	0	2	0	0
Clustering-based subsystems	NULL	ClpS__and_metallo-protease_cluster_in_Cyanos_	Metal-dependent membrane protease, abortive infection protein	35	30	0	0
Clustering-based subsystems	NULL	Bacterial_RNA-metabolizing_Zn-dependent_hydrolases	Metallo-beta-lactamase family protein, RNA-specific	274	261	101	79
Clustering-based subsystems	NULL	PA0057_cluster	Metallo-beta-lactamase superfamily protein PA0057	1	1	0	0
Stress Response	Oxidative stress	Oxidative_stress	Metallothionein	2	1	0	1
Carbohydrates	Central carbohydrate metabolism	Soluble_methane_monooxygenase_(sMMO)	Methane monooxygenase component A alpha chain (EC 1.14.13.25)	0	0	1	1
Respiration	Electron donating reactions	Respiratory_dehydrogenases_1	Methanol dehydrogenase large subunit protein (EC 1.1.99.8)	12	14	14	15
Miscellaneous	Plant-Prokaryote DOE project	Experimental_-_Histidine_Degradation	Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	196	182	65	54
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter ATP-binding protein	76	59	17	15
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine ABC transporter permease protein	0	0	1	1
Clustering-based subsystems	NULL	CBSS-312309.3.peg.1965	Methionine aminopeptidase (EC 3.4.11.18)	413	367	121	115
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	Methionine aminotransferase, PLP-dependent	6	7	6	8
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Degradation	Methionine gamma-lyase (EC 4.4.1.11)	54	48	11	11
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Biosynthesis	Methionine repressor MetJ	0	0	1	1
Clustering-based subsystems	NULL	Conserved_gene_cluster_associated_with_Met-tRNA_formyltransferase	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	240	210	57	53
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Met	Methionyl-tRNA synthetase (EC 6.1.1.10)	732	630	253	233
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Met	Methionyl-tRNA synthetase-related protein	1	1	0	0
Protein Metabolism	Protein biosynthesis	tRNA_aminoacylation,_Met	Methionyl-tRNA synthetase-related protein 2	1	1	0	0
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Carotenoids	Methoxyneurosporene dehydrogenase (EC 1.14.99.-)	45	40	8	9
Motility and Chemotaxis	NULL	Bacterial_Chemotaxis	Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	2	2	1	2
Motility and Chemotaxis	NULL	Bacterial_Chemotaxis	Methyl-accepting chemotaxis protein IV (dipeptide chemoreceptor protein)	0	1	0	0
Clustering-based subsystems	NULL	Shikimate_kinase_containing_cluster	Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	30	31	0	1
Respiration	Electron donating reactions	Respiratory_dehydrogenases_1	Methylamine dehydrogenase light chain precursor (EC 1.4.99.3)	1	1	0	0
Clustering-based subsystems	Methylamine utilization	CBSS-265072.7.peg.546	Methylamine utilization protein MauD	1	2	1	0
Clustering-based subsystems	NULL	CBSS-393124.3.peg.2657	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)	72	57	26	23
Carbohydrates	One-carbon Metabolism	Serine-glyoxylate_cycle	Methylcrotonyl-CoA carboxylase biotin-containing subunit (EC 6.4.1.4)	113	94	36	35
Amino Acids and Derivatives	Branched-chain amino acids	Branched_chain_amino_acid_degradation_regulons	Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	280	254	74	70
Carbohydrates	One-carbon Metabolism	One-carbon_metabolism_by_tetrahydropterines	Methylene tetrahydromethanopterin dehydrogenase (EC 1.5.99.9)	3	4	0	0
Carbohydrates	One-carbon Metabolism	Serine-glyoxylate_cycle	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5)	110	108	62	55
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like_protein	Methylenetetrahydrofolate dehydrogenase (NADP+) (EC 1.5.1.5) / Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)	69	65	33	35
Amino Acids and Derivatives	Branched-chain amino acids	HMG_CoA_Synthesis	Methylglutaconyl-CoA hydratase (EC 4.2.1.18)	81	69	39	37
Clustering-based subsystems	Clustering-based subsystems	CBSS-280355.3.peg.2835	Methylglyoxal synthase (EC 4.2.3.3)	29	17	10	7
Carbohydrates	Organic acids	Propionate-CoA_to_Succinate_Module	Methylisocitrate lyase (EC 4.1.3.30)	103	115	62	64
Amino Acids and Derivatives	Branched-chain amino acids	Valine_degradation	Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)	323	276	139	123
Carbohydrates	Sugar alcohols	Inositol_catabolism	Methylmalonate-semialdehyde dehydrogenase [inositol] (EC 1.2.1.27)	25	33	32	30
Respiration	Sodium Ion-Coupled Energetics	Na+_translocating_decarboxylases_and_related_biotin-dependent_enzymes	Methylmalonyl-CoA decarboxylase, alpha chain (EC 4.1.1.41)	2	2	2	3
Carbohydrates	Organic acids	Propionyl-CoA_to_Succinyl-CoA_Module	Methylmalonyl-CoA decarboxylase, beta chain (EC 4.1.1.41)	3	3	0	0
Carbohydrates	Organic acids	Propionyl-CoA_to_Succinyl-CoA_Module	Methylmalonyl-CoA epimerase (EC 5.1.99.1)	68	68	28	22
Carbohydrates	Organic acids	Propionyl-CoA_to_Succinyl-CoA_Module	Methylmalonyl-CoA mutase (EC 5.4.99.2)	387	316	127	127
Protein Metabolism	Protein processing and modification	G3E_family_of_P-loop_GTPases_(metallocenter_biosynthesis)	Methylmalonyl-CoA mutase, small subunit (EC 5.4.99.2)	5	4	1	4
Respiration	Sodium Ion-Coupled Energetics	Na+_translocating_decarboxylases_and_related_biotin-dependent_enzymes	Methylmalonyl-CoA:Pyruvate transcarboxylase 12S subunit (EC 2.1.3.1)	6	4	1	1
Carbohydrates	Central carbohydrate metabolism	Ethylmalonyl-CoA_pathway_of_C2_assimilation	Methylsuccinyl-CoA dehydrogenase, predicted by (Erb et al, 2007)	103	112	13	13
RNA Metabolism	RNA processing and modification	tRNA_modification_Archaea	Methylthioadenosine deaminase	40	43	15	18
Carbohydrates	One-carbon Metabolism	Methanogenesis_from_methylated_compounds	Methylthiol:coenzyme M methyltransferase	0	1	0	0
Amino Acids and Derivatives	Lysine, threonine, methionine, and cysteine	Methionine_Salvage	Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)	149	120	74	74
Miscellaneous	Plant-Prokaryote DOE project	Omega-amidase	Methylthioribulose-1-phosphate dehydratase (EC 4.2.1.109)	26	24	2	0
Fatty Acids, Lipids, and Isoprenoids	Isoprenoids	Isoprenoid_Biosynthesis	Mevalonate kinase (EC 2.7.1.36)	53	49	11	10
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Chlorophyll_Biosynthesis	Mg protoporphyrin IX monomethyl ester oxidative cyclase (aerobic) (EC 1.14.13.81)	116	121	13	13
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Chlorophyll_Biosynthesis	Mg-protoporphyrin IX monomethyl ester oxidative cyclase (anaerobic) (EC 1.14.13.81)	13	12	6	6
Cofactors, Vitamins, Prosthetic Groups, Pigments	Tetrapyrroles	Chlorophyll_Biosynthesis	Mg-protoporphyrin O-methyltransferase (EC 2.1.1.11)	57	46	11	8
RNA Metabolism	RNA processing and modification	Methylthiotransferases	MiaB family protein, possibly involved in tRNA or rRNA modification	235	221	40	32
Protein Metabolism	Protein degradation	Metalloendopeptidases_(EC_3.4.24.-)	Microbial collagenase (EC 3.4.24.3)	0	0	1	1
Protein Metabolism	Protein degradation	Metalloendopeptidases_(EC_3.4.24.-)	Microbial collagenase, secreted (EC 3.4.24.3)	20	15	6	6
Cofactors, Vitamins, Prosthetic Groups, Pigments	Quinone cofactors	Pyrroloquinoline_Quinone_biosynthesis	Microsomal dipeptidase (EC 3.4.13.19)	83	73	21	19
Carbohydrates	Sugar alcohols	Inositol_catabolism	Minor myo-inositol transporter IolF	3	3	3	3
Phages, Prophages, Transposable elements, Plasmids	Plasmid related functions	Plasmid-encoded_T-DNA_transfer	Minor pilin of type IV secretion complex, VirB5	1	1	1	1
Protein Metabolism	Protein degradation	Protein_degradation	Mitochondrial intermediate peptidase, mitochondrial precursor (EC 3.4.24.59)	1	0	1	1
Miscellaneous	NULL	ZZ_gjo_need_homes	Mitochondrial processing peptidase-like protein (EC 3.4.24.64)	149	128	8	6
Clustering-based subsystems	Probably GTP or GMP signaling related	CBSS-176299.4.peg.1292	Mll7752 protein	37	39	6	6
Clustering-based subsystems	NULL	CBSS-290633.1.peg.1906	Mlr7403 protein	1	1	2	2
Membrane Transport	NULL	Transport_of_Manganese	Mn-dependent transcriptional regulator MntR	33	38	14	13
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)	19	13	5	4
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdenum cofactor biosynthesis protein MoaA	228	219	78	77
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdenum cofactor biosynthesis protein MoaB	116	98	29	29
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdenum cofactor biosynthesis protein MoaC	122	109	57	50
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdenum cofactor biosynthesis protein MoaD	6	10	0	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdenum cofactor biosynthesis protein MoaE	59	48	15	13
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)	47	46	13	11
Clustering-based subsystems	Molybdopterin oxidoreductase	CBSS-269799.3.peg.2220	Molybdenum transport protein, putative	42	42	9	7
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)	37	33	16	15
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdopterin biosynthesis Mog protein, molybdochelatase	8	7	4	2
Cofactors, Vitamins, Prosthetic Groups, Pigments	NULL	Molybdopterin_cytosine_dinucleotide	Molybdopterin biosynthesis enzyme	13	13	3	0
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdopterin biosynthesis protein MoeA	168	153	39	32
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdopterin biosynthesis protein MoeB	25	27	12	11
Clustering-based subsystems	Molybdopterin oxidoreductase	CBSS-269799.3.peg.2220	Molybdopterin oxidoreductase (EC 1.2.7.-)	174	155	37	31
Clustering-based subsystems	Molybdopterin oxidoreductase	CBSS-269799.3.peg.2220	Molybdopterin oxidoreductase subunit, predicted	98	81	18	12
Clustering-based subsystems	Molybdopterin oxidoreductase	CBSS-269799.3.peg.2220	Molybdopterin oxidoreductase, iron-sulfur binding subunit (EC 1.2.7.-)	207	182	54	50
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdopterin-guanine dinucleotide biosynthesis protein MobA	120	101	15	9
Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	Molybdenum_cofactor_biosynthesis	Molybdopterin-guanine dinucleotide biosynthesis protein MobB	36	30	9	4
Metabolism of Aromatic Compounds	NULL	Aromatic_Amin_Catabolism	Monoamine oxidase (1.4.3.4)	2	3	5	5
Amino Acids and Derivatives	Arginine; urea cycle, polyamines	Putrescine_utilization_pathways	Monoamine/putrescine oxidase (EC 1.4.3.10)	1	0	0	0
Clustering-based subsystems	NULL	CBSS-176280.1.peg.1561	Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	195	183	46	37
Secondary Metabolism	Lipid-derived mediators	Cannabinoid_biosynthesis	Monoglyceride lipase (EC 3.1.1.23)	5	9	5	2
Membrane Transport	NULL	Ton_and_Tol_transport_systems	MotA/TolQ/ExbB proton channel family protein	341	307	111	97
Clustering-based subsystems	Flagella protein?	CBSS-323098.3.peg.2823	MotA/TolQ/ExbB proton channel family protein, probably associated with flagella	61	54	7	7
Clustering-based subsystems	NULL	Aerotolerance_operon_in_Bacteroides_and_potentially_orthologous_operons_in_other_organisms	MoxR-like ATPase in aerotolerance operon	130	124	47	41
Clustering-based subsystems	Clustering-based subsystems	Sporulation-related_Hypotheticals	MreB-like protein (Mbl protein)	2	2	0	0
Clustering-based subsystems	Sulfatases and sulfatase modifying factor 1 (and a hypothetical)	Sulfatases_and_sulfatase_modifying_factor_1	Mucin-desulfating sulfatase MdsA precursor (EC 3.1.6.14)	35	32	5	3
Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Benzoate_catabolism	Muconate cycloisomerase (EC 5.5.1.1)	77	63	13	12
Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds	Benzoate_catabolism	Muconolactone isomerase (EC 5.3.3.4)	79	82	20	17
Metabolism of Aromatic Compounds	Metabolism of central aromatic intermediates	Catechol_branch_of_beta-ketoadipate_pathway	Muconolactone isomerase (EC 5.3.3.4),putative	36	29	8	9
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug_Resistance_Efflux_Pumps	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	49	40	22	18
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper_homeostasis	Multicopper oxidase	120	102	28	23
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug_Resistance_Efflux_Pumps	Multidrug efflux RND transporter MexD	0	0	1	1
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	MexE-MexF-OprN_Multidrug_Efflux_System	Multidrug efflux membrane fusion protein MexE	0	0	1	1
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug_Resistance_Efflux_Pumps	Multidrug efflux pump component MtrF	9	9	6	5
