gene function,organism,counts,oualidia_1_counts
inositol monophosphatase,Zunongwangia profunda SM-A87,1,1
inositol monophosphatase,marine actinobacterium PHSC20C1,3,3
inositol-1-monophosphatase,beta proteobacterium KB13,5,5
inositol-5-monophosphate dehydrogenase,marine gamma proteobacterium HTCC2143,1,1
integral membrane protei,Roseobacter denitrificans OCh 114,5,5
integral membrane protei,alpha proteobacterium BAL199,2,2
integral membrane protein,Actinomyces coleocanis DSM 15436,3,3
integral membrane protein,Candidatus Pelagibacter ubique HTCC1002,2,2
integral membrane protein,Rhodococcus equi 103S,2,2
integral membrane protein,Streptomyces coelicolor A3(2),2,2
integral membrane protein,Streptomyces scabiei 87.22,3,3
integral membrane protein,Vibrio parahaemolyticus AN-5034,2,2
integral membrane protein,marine actinobacterium PHSC20C1,1,1
integral membrane protein 1 isoform 7,Pan troglodytes,1,1
integral membrane protein DUF6,alpha proteobacterium HIMB114,13,13
integral membrane protein MviN,Kineococcus radiotolerans SRS30216,2,2
integral membrane protein MviN,Methylotenera mobilis JLW8,1,1
integral membrane protein TerC,Ahrensia sp. R2A130,1,1
integral membrane protein TerC,Flavobacterium johnsoniae UW101,1,1
integral membrane protein terC,Micromonospora sp. ATCC 39149,2,2
integral membrane sensor signal transduction histidine kinase,Acidiphilium cryptum JF-5,1,1
integral membrane sensor signal transduction histidine kinase,Rhodobacter sphaeroides ATCC 17029,1,1
integral membrane sensor signal transduction histidine kinase,Truepera radiovictrix DSM 17093,1,1
integral membrane signal transducer protein,Neisseria gonorrhoeae 1291,2,2
integral membrane transporter,Polaribacter irgensii 23-P,2,2
integras,Octadecabacter antarcticus 238,1,1
integrase,Pseudoalteromonas haloplanktis TAC125,1,1
integrase,Yersinia rohdei ATCC 43380,3,3
integrase catalytic region,Dinoroseobacter shibae DFL 12,2,2
integrase catalytic region,Sinorhizobium medicae WSM419,1,1
integrase catalytic subunit,Alkaliphilus metalliredigens QYMF,1,1
integrase catalytic subunit,Desulfovibrio aespoeensis Aspo-2,2,2
integrase catalytic subunit,Geobacter uraniireducens Rf4,3,3
integrase catalytic subunit,Pseudomonas fluorescens Pf0-1,1,1
integrase catalytic subunit,Ruegeria sp. TM1040,2,2
integrase family protein,Desulfatibacillum alkenivorans AK-01,1,1
integrase family protein,Flavobacteria bacterium MS024-3C,3,3
integrase family protein,Methylovorus sp. SIP3-4,1,1
integration host facto,Rhodobacteraceae bacterium HTCC2083,1,1
integration host factor subunit alpha,marine gamma proteobacterium HTCC2080,2,2
integration host factor subunit beta,Ruegeria pomeroyi DSS-3,1,1
integrator complex subunit 11,Mus musculus,1,1
integrins alpha chain,Ruegeria sp. TM1040,1,1
intracellular protease,Thermoplasma volcanium GSS1,1,1
intracellular septation protein A,Mesorhizobium loti MAFF303099,1,1
intracellular septation protein A,Methylotenera mobilis JLW8,1,1
intracellular septation protein A,beta proteobacterium KB13,1,1
intracellular signaling protein,Idiomarina loihiensis L2TR,1,1
intracellular sulfur oxidation protein DsrF,Candidatus Vesicomyosocius okutanii HA,1,1
intraflagellar transport protein 172 homolog,Homo sapiens,1,1
ion transport protein,Halomonas elongata DSM 2581,1,1
ipid-A-disaccharide synthase,Helicobacter pylori G27,1,1
iron ABC transporte,Pseudomonas syringae pv. phaseolicola 1448A,1,1
iron chelate uptake ABC transporte,Thalassiobium sp. R2A62,1,1
iron(III) ABC transporte,Rhizobium etli CFN 42,2,2
iron(III) ABC transporter ATP-binding protein,Leeuwenhoekiella blandensis MED217,1,1
iron-containing alcohol dehydrogenase,Paracoccus denitrificans PD1222,1,1
iron-containing alcohol dehydrogenase,Pseudomonas stutzeri A1501,2,2
iron-regulated ABC transporter membrane component sufb,Marivirga tractuosa DSM 4126,2,2
iron-sulfur cluster binding protein,Burkholderia ambifaria AMMD,1,1
iron-sulfur cluster binding protein,Methylotenera sp. 301,1,1
iron-sulfur cluster-binding protei,marine gamma proteobacterium HTCC2080,2,2
iron-sulfur cluster-binding protein,Desulfovibrio desulfuricans subsp. desulfuricans str. G20,1,1
iron-sulfur cluster-binding protein,Polaribacter sp. MED152,1,1
iron-sulfur cluster-binding protein,Sagittula stellata E-37,1,1
iron-sulfur cluster-binding protein,marine gamma proteobacterium HTCC2143,1,1
iron-sulphur-binding reductase,Bacillus halodurans C-125,1,1
iron-sulphur-binding reductase,Corynebacterium amycolatum SK46,1,1
isobutyryl-CoA dehydrogenase,Roseobacter denitrificans OCh 114,1,1
isocitrate dehydrogenas,Chlorobium phaeobacteroides BS1,1,1
isocitrate dehydrogenas,Denitrovibrio acetiphilus DSM 12809,1,1
isocitrate dehydrogenas,Paenibacillus sp. Y412MC10,1,1
isocitrate dehydrogenas,Tsukamurella paurometabola DSM 20162,1,1
isocitrate dehydrogenas,gamma proteobacterium NOR51-B,1,1
isocitrate dehydrogenase,Acidovorax sp. JS42,1,1
isocitrate dehydrogenase,Bordetella parapertussis 12822,1,1
isocitrate dehydrogenase,Francisella tularensis subsp. holarctica OSU18,1,1
isocitrate dehydrogenase,Kineococcus radiotolerans SRS30216,3,3
isocitrate dehydrogenase,Mycobacterium parascrofulaceum ATCC BAA-614,1,1
isocitrate dehydrogenase,Neisseria meningitidis 053442,1,1
isocitrate dehydrogenase,Pseudomonas stutzeri A1501,1,1
isocitrate dehydrogenase,Xanthomonas axonopodis pv. citri str. 306,2,2
isocitrate dehydrogenase [NADP,Streptococcus sanguinis SK36,1,1
isocitrate lyase,Alteromonas macleodii ''Deep ecotype'',1,1
isocitrate lyase,Chromohalobacter salexigens DSM 3043,1,1
isocitrate lyase,Grimontia hollisae CIP 101886,1,1
isocitrate lyase,Marinomonas sp. MED121,2,2
isocitrate lyase,Pseudomonas fluorescens Pf0-1,1,1
isocitrate lyase,Psychrobacter cryohalolentis K5,1,1
isocitrate lyase,Saccharomonospora viridis DSM 43017,1,1
isocitrate lyase,Vibrio fischeri ES114,1,1
isocitrate lyase family protein,Sulfitobacter sp. EE-36,1,1
isoleucine--tRNA ligase,Corynebacterium ammoniagenes DSM 20306,1,1
isoleucine--tRNA ligase,Vibrio parahaemolyticus Peru-466,1,1
isoleucine-tRNA ligase,alpha proteobacterium HIMB114,37,37
isoleucyl-tRNA synthetase,Alteromonas macleodii ATCC 27126,2,2
isoleucyl-tRNA synthetase,Arthrobacter sp. FB24,5,5
isoleucyl-tRNA synthetase,Bacillus sp. m3-13,1,1
isoleucyl-tRNA synthetase,Borrelia hermsii DAH,1,1
isoleucyl-tRNA synthetase,Burkholderia oklahomensis EO147,1,1
isoleucyl-tRNA synthetase,Chelativorans sp. BNC1,1,1
isoleucyl-tRNA synthetase,Clostridium beijerinckii NCIMB 8052,2,2
isoleucyl-tRNA synthetase,Coraliomargarita akajimensis DSM 45221,5,5
isoleucyl-tRNA synthetase,Corynebacterium jeikeium K411,1,1
isoleucyl-tRNA synthetase,Cronobacter turicensis z3032,1,1
isoleucyl-tRNA synthetase,Kocuria rhizophila DC2201,2,2
isoleucyl-tRNA synthetase,Methanobrevibacter smithii ATCC 35061,1,1
isoleucyl-tRNA synthetase,Methylobacter tundripaludum SV96,2,2
isoleucyl-tRNA synthetase,Nitrosococcus halophilus Nc4,1,1
isoleucyl-tRNA synthetase,Phytophthora infestans T30-4,1,1
isoleucyl-tRNA synthetase,Prochlorococcus marinus str. MIT 9211,1,1
isoleucyl-tRNA synthetase,Propionibacterium acnes KPA171202,1,1
isoleucyl-tRNA synthetase,Pseudoalteromonas sp. SM9913,1,1
isoleucyl-tRNA synthetase,Rhodobacter sphaeroides ATCC 17029,1,1
isoleucyl-tRNA synthetase,Shewanella sp. ANA-3,1,1
isoleucyl-tRNA synthetase,Sphaerobacter thermophilus DSM 20745,1,1
isoleucyl-tRNA synthetase,Sulfitobacter sp. NAS-14.1,1,1
isoleucyl-tRNA synthetase,Symbiobacterium thermophilum IAM 14863,2,2
isoleucyl-tRNA synthetase,Synechococcus sp. WH 7803,1,1
isoleucyl-tRNA synthetase,Synechocystis sp. PCC 6803,1,1
isoleucyl-tRNA synthetase,Vibrio splendidus 12B01,1,1
isopentenyl-diphosphate delta-isomeras,Azotobacter vinelandii DJ,1,1
isopentenyl-diphosphate delta-isomeras,Brevundimonas subvibrioides ATCC 15264,1,1
isopentenyl-diphosphate delta-isomerase,Clavibacter michiganensis subsp. sepedonicus,3,3
isopentenyl-diphosphate delta-isomerase,Cytophaga hutchinsonii ATCC 33406,2,2
isopropylmalate isomerase large subunit,Alteromonadales bacterium TW-7,1,1
isopropylmalate isomerase large subunit,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),2,2
isopropylmalate isomerase large subunit,Gramella forsetii KT0803,2,2
isopropylmalate isomerase large subunit,Oligotropha carboxidovorans OM5,2,2
isopropylmalate isomerase large subunit,Opitutus terrae PB90-1,3,3
isopropylmalate isomerase large subunit,Parabacteroides distasonis ATCC 8503,1,1
isopropylmalate isomerase large subunit,Roseobacter sp. MED193,1,1
isoquinoline 1-oxidoreductase subunit beta,Geobacter sulfurreducens PCA,2,2
isoquinoline 1-oxidoreductase subunit beta,Maribacter sp. HTCC2170,2,2
isovaleryl-CoA dehydrogenase,Nitrobacter hamburgensis X14,1,1
isovaleryl-CoA dehydrogenase,Rhodobacter sphaeroides ATCC 17029,1,1
isovaleryl-CoA dehydrogenase,Sagittula stellata E-37,1,1
katanin p60 ATPase-containing subunit A-like 2,Homo sapiens,1,1
keto-hydroxyglutarate-aldolase/keto-deoxy- phosphogluconate aldolase,Loktanella vestfoldensis SKA53,1,1
ketol-acid reductoisomerase,Acidithiobacillus ferrooxidans ATCC 23270,2,2
ketol-acid reductoisomerase,Bradyrhizobium japonicum USDA 110,2,2
ketol-acid reductoisomerase,Candidatus Puniceispirillum marinum IMCC1322,1,1
ketol-acid reductoisomerase,Chelativorans sp. BNC1,1,1
ketol-acid reductoisomerase,Chitinophaga pinensis DSM 2588,1,1
ketol-acid reductoisomerase,Chromobacterium violaceum ATCC 12472,1,1
ketol-acid reductoisomerase,Clavibacter michiganensis subsp. sepedonicus,1,1
ketol-acid reductoisomerase,Delftia acidovorans SPH-1,1,1
ketol-acid reductoisomerase,Dyadobacter fermentans DSM 18053,1,1
ketol-acid reductoisomerase,Laribacter hongkongensis HLHK9,2,2
ketol-acid reductoisomerase,Maribacter sp. HTCC2170,4,4
ketol-acid reductoisomerase,Rhodobacter sphaeroides 2.4.1,4,4
ketol-acid reductoisomerase,Roseomonas cervicalis ATCC 49957,1,1
ketol-acid reductoisomerase,Ruegeria sp. TM1040,1,1
ketol-acid reductoisomerase,Thermotoga sp. RQ2,1,1
ketopantoate reductase PanE/ApbA,Gramella forsetii KT0803,1,1
ketose-bisphosphate aldolas,candidate division TM7 genomosp. GTL1,1,1
kinase pyruvate kinase 5,Phaeodactylum tricornutum CCAP 1055/1,1,1
kinesin,Trypanosoma brucei TREU927,1,1
kinesin family member 2C isoform 2,Macaca mulatta,1,1
kinesin family-like protein,Phaeodactylum tricornutum CCAP 1055/1,2,2
kinesin heavy chain,Laccaria bicolor S238N-H82,1,1
kinesin heavy chain,Neurospora crassa OR74A,1,1
kinesin like protein,Micromonas sp. RCC299,1,1
kinesin motor protein-related,Arabidopsis thaliana,2,2
kinesin-ii motor protein,Chlamydomonas reinhardtii,2,2
kinesin-like protein,Phytophthora infestans T30-4,1,1
kinesin-like protein,Volvox carteri f. nagariensis,4,4
kinesin-like protein FLA8,Micromonas sp. RCC299,2,2
kinesin-like protein KIF17 isoform 1,Mus musculus,1,1
kinesin-like protein KIF21A isoform 1,Homo sapiens,1,1
kynureninas,Roseobacter denitrificans OCh 114,1,1
kynureninase,Actinosynnema mirum DSM 43827,1,1
kynureninase,Candidatus Koribacter versatilis Ellin345,3,3
kynureninase,Idiomarina loihiensis L2TR,2,2
kynureninase,Jannaschia sp. CCS1,1,1
kynureninase,Shewanella woodyi ATCC 51908,2,2
kynureninase,Xanthomonas oryzae pv. oryzae KACC10331,1,1
kynurenine 3-monooxygenase,Flavobacterium psychrophilum JIP02/86,2,2
kynurenine aminotransferas,Ixodes scapularis,1,1
kynurenine-oxoglutarate transaminas,Phytophthora infestans T30-4,1,1
l-threonine synthase,Calditerrivibrio nitroreducens DSM 19672,1,1
lactate transporter,Janthinobacterium sp. Marseille,1,1
lactose transport ATP-binding protein LacK,Thalassiobium sp. R2A62,1,1
lactoylglutathione lyase,Agrobacterium vitis S4,1,1
lactoylglutathione lyase,Marinobacter aquaeolei VT8,3,3
lactoylglutathione lyase,gamma proteobacterium NOR5-3,1,1
lamin B receptor,Bos taurus,1,1
larg,Planctomyces limnophilus DSM 3776,2,2
larg,Rhodopirellula baltica SH 1,6,6
large terminase protein,Enterobacteria phage RB51,1,1
large-conductance mechanosensitive channel,Rhodobacter sphaeroides 2.4.1,1,1
lariat debranching enzyme,Homo sapiens,2,2
lauroyl/myristoyl acyltransferase,gamma proteobacterium NOR5-3,1,1
leucine rich repeat containing 50,Rattus norvegicus,1,1
leucine--tRNA ligase,Peptoniphilus lacrimalis 315-B,1,1
leucine--tRNA ligase,Roseomonas cervicalis ATCC 49957,1,1
leucine--tRNA ligase,Rothia dentocariosa ATCC 17931,1,1
leucine--tRNA ligase,Vibrio parahaemolyticus AN-5034,1,1
leucine-rich protein,Kordia algicida OT-1,1,1
leucine-rich repeat-containing protein,Culex quinquefasciatus,3,3
leucyl aminopeptidase,Agrobacterium tumefaciens str. C58,2,2
leucyl aminopeptidase,Chromobacterium violaceum ATCC 12472,2,2
leucyl aminopeptidase,Clavibacter michiganensis subsp. sepedonicus,1,1
leucyl aminopeptidase,Magnetospirillum magneticum AMB-1,2,2
leucyl aminopeptidase,Streptomyces griseus subsp. griseus NBRC 13350,2,2
leucyl-tRNA synthetase,Acetohalobium arabaticum DSM 5501,2,2
leucyl-tRNA synthetase,Bacteroides thetaiotaomicron VPI-5482,1,1
leucyl-tRNA synthetase,Brucella suis 1330,4,4
leucyl-tRNA synthetase,Capnocytophaga ochracea DSM 7271,1,1
leucyl-tRNA synthetase,Clavibacter michiganensis subsp. sepedonicus,7,7
leucyl-tRNA synthetase,Finegoldia magna ATCC 29328,1,1
leucyl-tRNA synthetase,Herpetosiphon aurantiacus ATCC 23779,1,1
leucyl-tRNA synthetase,Ktedonobacter racemifer DSM 44963,1,1
leucyl-tRNA synthetase,Mannheimia succiniciproducens MBEL55E,1,1
leucyl-tRNA synthetase,Oceanibulbus indolifex HEL-45,2,2
leucyl-tRNA synthetase,Orientia tsutsugamushi str. Boryong,1,1
leucyl-tRNA synthetase,Parvibaculum lavamentivorans DS-1,5,5
leucyl-tRNA synthetase,Pseudoalteromonas atlantica T6c,1,1
leucyl-tRNA synthetase,Ralstonia pickettii 12J,1,1
leucyl-tRNA synthetase,Rhodopseudomonas palustris BisB18,1,1
leucyl-tRNA synthetase,Roseobacter sp. CCS2,4,4
leucyl-tRNA synthetase,Shewanella sp. MR-4,2,2
leucyl-tRNA synthetase,Thioalkalivibrio sp. HL-EbGR7,2,2
leucyl-tRNA synthetase family protein,Tetrahymena thermophila,1,1
leucyl-trna synthetase,Thalassiosira pseudonana CCMP1335,6,6
leucyl/phenylalanyl-tRNA--protein transferase,Maribacter sp. HTCC2170,1,1
leucyl/phenylalanyl-tRNA--protein transferase,Oceanibulbus indolifex HEL-45,1,1
leucyl/phenylalanyl-tRNA--protein transferase,marine gamma proteobacterium HTCC2080,1,1
leucyl/phenylalanyl-tRNA/protein transferase,Arcobacter nitrofigilis DSM 7299,1,1
leukocyte receptor cluster member 8,Homo sapiens,1,1
licheninase,Prevotella melaninogenica D18,1,1
light-independent protochlorophyllide reductase,Roseovarius sp. 217,1,1
light-independent protochlorophyllide reductase subunit N,Dinoroseobacter shibae DFL 12,2,2
light-independent protochlorophyllide reductase subunit N,Rhodospirillum rubrum ATCC 11170,3,3
light-independent protochlorophyllide reductase subunit N,Synechococcus sp. WH 5701,1,1
likely cytosolic ribosomal protein S15,Candida albicans SC5314,2,2
likely protein kinase,Candida albicans SC5314,2,2
lincomycin-condensing protein lmbA,Cryptococcus neoformans var. neoformans JEC21,1,1
linoleoyl-CoA desaturase,Flavobacterium johnsoniae UW101,1,1
linoleoyl-CoA desaturase,Leeuwenhoekiella blandensis MED217,5,5
lipase,Rhodopirellula baltica SH 1,12,12
lipid A disaccharide synthase,Cytophaga hutchinsonii ATCC 33406,1,1
lipid A export ATP-binding/permease protein MsbA,Cyanobium sp. PCC 7001,1,1
lipid ABC transporter ATPase/inner membrane protein,Brucella suis bv. 3 str. 686,1,1
lipid transporter ATP-binding/permease protein,Aggregatibacter actinomycetemcomitans D11S-1,1,1
lipid-A-disaccharide synthase,Aromatoleum aromaticum EbN1,1,1
lipid-A-disaccharide synthase,Dechloromonas aromatica RCB,1,1
lipid-A-disaccharide synthase,Escherichia coli 536,1,1
lipid-A-disaccharide synthase,Marinobacter sp. ELB17,1,1
lipid-A-disaccharide synthase,Shewanella sp. ANA-3,1,1
lipid-transfer protein Ltp1_1,Mycobacterium ulcerans Agy99,1,1
lipoate synthase,Flavobacteria bacterium BBFL7,1,1
lipoate-protein ligase B,Candidatus Pelagibacter ubique HTCC1002,12,12
lipoate-protein ligase B,Flavobacteria bacterium MS024-3C,1,1
lipoate-protein ligase B,Magnetospirillum magneticum AMB-1,1,1
lipoic acid synthetase,Halothiobacillus neapolitanus c2,1,1
lipoic acid synthetase,Legionella pneumophila 2300/99 Alcoy,1,1
lipoic acid synthetase precursor,Bos taurus,2,2
lipolytic protein G-D-S-L family,Mesorhizobium opportunistum WSM2075,2,2
lipopolysaccharide biosynthesis protein WbpI,Methanocaldococcus jannaschii DSM 2661,1,1
lipopolysaccharide kinase WaaP,Pseudomonas aeruginosa PAO1,1,1
lipopolysaccharide sialyltransferase,Haemophilus influenzae NT127,3,3
lipoprotei,Maritimibacter alkaliphilus HTCC2654,1,1
lipoprotei,Oceanibulbus indolifex HEL-45,1,1
lipoprotei,Phaeobacter gallaeciensis BS107,1,1
lipoprotei,Photobacterium sp. SKA34,1,1
lipoprotei,Roseobacter sp. AzwK-3b,1,1
lipoprotei,Sulfitobacter sp. NAS-14.1,1,1
lipoprotein,Brachyspira murdochii DSM 12563,1,1
lipoprotein,Rhodopirellula baltica SH 1,1,1
lipoprotein,Robiginitalea biformata HTCC2501,5,5
lipoprotein,Silicibacter sp. TrichCH4B,4,4
lipoprotein Blc,Vibrio alginolyticus 12G01,1,1
lipoprotein NlpD,Enterobacter sp. 638,1,1
lipoprotein transporter ATP-binding subunit,Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,2,2
lipoprotein-releasing system ATP-binding protein LolD,alpha proteobacterium HIMB114,16,16
lipoyl synthase,Flavobacteriales bacterium ALC-1,3,3
lipoyl synthase,Legionella pneumophila str. Paris,1,1
lipoyl synthase,Nakamurella multipartita DSM 44233,2,2
lipoyl synthase,Nitrococcus mobilis Nb-231,1,1
lipoyl synthase,Pseudoalteromonas sp. SM9913,1,1
lipoyl synthase,Schizosaccharomyces japonicus yFS275,1,1
lipoyltransferase,Ruegeria sp. TM1040,1,1
long-chain fatty-acid-CoA ligase,Bdellovibrio bacteriovorus HD100,1,1
long-chain-fatty-acid--CoA ligase,Algoriphagus sp. PR1,1,1
long-chain-fatty-acid--CoA ligase,Burkholderia ambifaria MC40-6,1,1
long-chain-fatty-acid--CoA ligase,Catenulispora acidiphila DSM 44928,1,1
long-chain-fatty-acid--CoA ligase,Polaromonas sp. JS666,3,3
long-chain-fatty-acid--CoA ligase,Zunongwangia profunda SM-A87,2,2
long-chain-fatty-acid--CoA ligase,gamma proteobacterium NOR5-3,1,1
long-chain-fatty-acid--CoA-ligase,Neisseria meningitidis Z2491,1,1
long-chain-fatty-acid-CoA ligase,marine actinobacterium PHSC20C1,4,4
low affinity sulfate transporter,Kordia algicida OT-1,1,1
low-affinity gluconate/H+ symporter GntU,Vibrio metschnikovii CIP 69.14,1,1
low-specificity L-threonine aldolase,Roseobacter denitrificans OCh 114,1,1
lsu ribosomal protein l1p,Leadbetterella byssophila DSM 17132,1,1
luciferase family protein,Candidatus Puniceispirillum marinum IMCC1322,1,1
lysine biosynthesis enzyme LysX,Chloroflexus sp. Y-400-fl,1,1
lysine exporter protein LysE/YggA,Ralstonia eutropha JMP134,1,1
lysine exporter protein LysE/YggA,Shewanella frigidimarina NCIMB 400,2,2
lysine exporter protein LysE/YggA,Shewanella sp. W3-18-1,1,1
lysine--tRNA ligase,Turicibacter sanguinis PC909,1,1
lysine/cadaverine antiporter,Haemophilus somnus 129PT,1,1
lysine/ornithine decarboxylase,Candidatus Pelagibacter sp. HTCC7211,26,26
lysozyme,Enterobacteria phage T7,1,1
lysyl-tRNA synthetase,Ahrensia sp. R2A130,2,2
lysyl-tRNA synthetase,Chlorobium ferrooxidans DSM 13031,1,1
lysyl-tRNA synthetase,Cytophaga hutchinsonii ATCC 33406,1,1
lysyl-tRNA synthetase,Dichelobacter nodosus VCS1703A,1,1
lysyl-tRNA synthetase,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,2,2
lysyl-tRNA synthetase,Janthinobacterium sp. Marseille,1,1
lysyl-tRNA synthetase,Pectobacterium carotovorum subsp. carotovorum PC1,1,1
lysyl-tRNA synthetase,Photobacterium profundum 3TCK,1,1
lysyl-tRNA synthetase,Pseudomonas mendocina ymp,1,1
lysyl-tRNA synthetase,Rhodobacter sphaeroides ATCC 17025,2,2
lysyl-tRNA synthetase,Rhodopseudomonas palustris BisB5,1,1
lysyl-tRNA synthetase,Salinispora tropica CNB-440,2,2
lysyl-tRNA synthetase,Vibrio caribbenthicus ATCC BAA-2122,1,1
lysyl-tRNA synthetase,Vibrio fischeri MJ11,1,1
lytic murein transglycosylase,Desulfurivibrio alkaliphilus AHT2,1,1
lytic murein transglycosylase,Hyphomicrobium denitrificans ATCC 51888,1,1
lytic murein transglycosylase,Ruegeria sp. TM1040,1,1
lytic murein transglycosylase B,gamma proteobacterium NOR51-B,1,1
lytic transglycosylas,Burkholderia cenocepacia AU 1054,1,1
lytic transglycosylas,Moorella thermoacetica ATCC 39073,1,1
lytic transglycosylas,Novosphingobium aromaticivorans DSM 12444,1,1
lytic transglycosylas,gamma proteobacterium NOR5-3,1,1
lytic transglycosylase catalytic,Dinoroseobacter shibae DFL 12,1,1
mRNA splicing protein,Micromonas sp. RCC299,2,2
maf protein,Acidovorax avenae subsp. avenae ATCC 19860,1,1
magnesium chelatase subunit Chll,Zunongwangia profunda SM-A87,3,3
magnesium chelatase subunit H,Prochlorococcus marinus str. MIT 9312,5,5
magnesium chelatase subunit I,Rhodobacter sphaeroides 2.4.1,5,5
magnesium transporte,Rhodospirillum centenum SW,1,1
magnesium transporter,Shewanella baltica OS155,1,1
magnesium transporter,Synechococcus sp. JA-2-3B''a(2-13),1,1
magnesium transporter,gamma proteobacterium NOR51-B,2,2
magnesium transporter Ykok,Rhodopirellula baltica SH 1,5,5
magnesium-protoporphyrin IX monomethyl ester anaerobic oxidative cyclase,Roseobacter denitrificans OCh 114,3,3
magnesium-transporting ATPase MgtA,Shigella sp. D9,1,1
major capsid protein,Cafeteria roenbergensis virus BV-PW1,40,40
major capsid protein,Chlamydia phage CPAR39,1,1
major facilitator family transporter,Hyphomonas neptunium ATCC 15444,1,1
major facilitator family transporter,Legionella longbeachae NSW150,1,1
major facilitator superfamily MFS_1,Cellulomonas flavigena DSM 20109,1,1
major facilitator superfamily MFS_1,Dinoroseobacter shibae DFL 12,1,1
major facilitator superfamily MFS_1,Methylobacter tundripaludum SV96,1,1
major facilitator superfamily MFS_1,Pedobacter heparinus DSM 2366,1,1
major facilitator superfamily muropeptide transporter,Chromobacterium violaceum ATCC 12472,3,3
major facilitator superfamily oxalate/formate antiporter,Janthinobacterium sp. Marseille,1,1
major facilitator superfamily permease,Flavobacterium psychrophilum JIP02/86,1,1
major facilitator superfamily permease alpha-glucoside transporter,Gramella forsetii KT0803,3,3
major facilitator superfamily transporter,Marinobacter aquaeolei VT8,1,1
major facilitator transporter,Alkalilimnicola ehrlichii MLHE-1,1,1
major facilitator transporter,Arthrobacter aurescens TC1,1,1
major facilitator transporter,Arthrobacter sp. FB24,1,1
major facilitator transporter,Burkholderia ambifaria MC40-6,3,3
major facilitator transporter,Cupriavidus metallidurans CH34,1,1
major facilitator transporter,Jannaschia sp. CCS1,1,1
major facilitator transporter,Novosphingobium aromaticivorans DSM 12444,1,1
major facilitator transporter,Pseudoalteromonas atlantica T6c,1,1
major facilitator transporter,Pseudomonas putida W619,1,1
major facilitator transporter,Rhodobacter sphaeroides ATCC 17025,1,1
major facilitator transporter,Shewanella loihica PV-4,1,1
major facilitator transporter,Synechococcus sp. JA-3-3Ab,1,1
major intrinsic protein,Actinobacillus succinogenes 130Z,2,2
major intrinsic protein,Sphingopyxis alaskensis RB2256,2,2
major tail protei,Oceanicola granulosus HTCC2516,1,1
malate dehydrogenase,Acinetobacter baumannii 6013113,1,1
malate dehydrogenase,Bacteroides fragilis YCH46,1,1
malate dehydrogenase,Idiomarina loihiensis L2TR,2,2
malate dehydrogenase,Legionella drancourtii LLAP12,1,1
malate dehydrogenase,Legionella pneumophila str. Corby,3,3
malate dehydrogenase,Pseudoalteromonas haloplanktis TAC125,1,1
malate dehydrogenase,Rhodobacteraceae bacterium HTCC2150,1,1
malate dehydrogenase,Rhodococcus opacus B4,1,1
malate dehydrogenase,gamma proteobacterium HTCC5015,1,1
malate dehydrogenase protein,Xanthomonas albilineans,2,2
malate synthase,Chryseobacterium gleum ATCC 35910,1,1
malate synthase,Rubrobacter xylanophilus DSM 9941,1,1
malate synthase G,Achromobacter piechaudii ATCC 43553,1,1
malate synthase G,Brucella suis ATCC 23445,1,1
malate synthase G,Burkholderia phytofirmans PsJN,3,3
malate synthase G,Geobacillus sp. WCH70,8,8
malate synthase G,Mycobacterium ulcerans Agy99,1,1
malate synthase G,Octadecabacter antarcticus 238,1,1
malate synthase G,Rhizobium leguminosarum bv. viciae 3841,4,4
malate synthase G,Rhodobacter sphaeroides KD131,1,1
malate synthase G,Sinorhizobium meliloti 1021,3,3
malate synthase G,alpha proteobacterium BAL199,1,1
malate synthase G,gamma proteobacterium NOR51-B,2,2
malate/quinone oxidoreductase,Gallionella capsiferriformans ES-2,1,1
malate:quinone oxidoreductase,Azotobacter vinelandii DJ,1,1
malate:quinone oxidoreductase,Chromohalobacter salexigens DSM 3043,1,1
malate:quinone oxidoreductase,Pectobacterium atrosepticum SCRI1043,1,1
malic enzyme,Bordetella pertussis Tohama I,1,1
malic enzyme,Dechloromonas aromatica RCB,1,1
malic enzyme,Paracoccus denitrificans PD1222,1,1
malic enzyme,Pseudomonas aeruginosa UCBPP-PA14,2,2
malic enzyme,Rhodospirillum centenum SW,2,2
malic enzyme,Salmonella enterica subsp. enterica serovar Schwarzengrund str. CVM19633,1,1
malonyl CoA-acyl carrier protein transacylase,Ahrensia sp. R2A130,1,1
malonyl CoA-acyl carrier protein transacylase,Gramella forsetii KT0803,2,2
malonyl CoA-acyl carrier protein transacylase,Maribacter sp. HTCC2170,1,1
malonyl CoA-acyl carrier protein transacylase,Pedobacter heparinus DSM 2366,1,1
malonyl CoA-acyl carrier protein transacylase,Pseudomonas putida F1,1,1
malonyl CoA-acyl carrier protein transacylase,Rhodopseudomonas palustris BisB18,2,2
malonyl CoA-acyl carrier protein transacylase,Shewanella violacea DSS12,1,1
malonyl coa-acyl carrier protein transacylase,Thalassiosira pseudonana CCMP1335,4,4
malonyl-CoA synthase,Alkalilimnicola ehrlichii MLHE-1,2,2
malonyl-CoA synthase,Bradyrhizobium sp. BTAi1,3,3
malonyl-CoA-[acyl-carrier-protein,Pseudomonas aeruginosa UCBPP-PA14,1,1
maltodextrin glucosidase,Vibrio vulnificus CMCP6,1,1
